"paragraph","nrc_sentiment","no_of_interactions","sentence_id","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","Valence","Arousal","Dominance"
" Harry attempts to patch things up with Hermione but Scabbers disappears after Harry and Ronald arrive at Gryffindor Tower , ruining any chance for Ronald and Hermione 's reconciliation .",-0.6,1," 162",0.142857142857143,0.285714285714286,0,0,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.05333,-0.81667,0.56889
" As March arrives , a new Quidditch match approaches : Gryffindor vs. Ravenclaw .",0.8,1," 163",NA,NA,NA,NA,NA,NA,NA,NA,1.37375,-0.58875,1.00375
" Harry spends the last practise session before the match getting used to Harry 's Firebolt .",0,1," 164",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0.8175,-1.32083,0.66583
" During the game , just as Harry is about to catch the Snitch , Cho Chang , a fourth year Seeker for the Ravenclaw team , screams .",-1.6,1," 165",0.25,0,0,0,0,0.25,0.25,0.25,0.42625,-0.43125,0.49125
" Harry looks around and sees three Dementors in the stands .",0,1," 166",0.5,0,0,0,0,0.5,0,0,0.73,-1.465,0.805
" Harry reacts instantly , sending a full-fledged Patronus at the Dementors .",-0.25,1," 167",0.5,0,0,0,0,0.5,0,0,0.665,-0.545,1.03
" Harry catches the Snitch before Cho Chang , winning the match . Remus compliments Harry on Harry 's Patronus and shows Harry that the `` Dementors '' were really Vincent , Marcus , Gregory and Draco , the Slytherin team captain , trying to sabotage Harry .",-0.375,2," 168 169",0.1875,0.0625,0.125,0.0625,0.0625,0.25,0.125,0.125,0.54045,-0.625,0.65955
" A furious Minerva takes fifty points away from Slytherin and sentences all four of them to detention as punishment . The Gryffindors celebrate until Minerva tells them to go to bed .",-0.75,2," 170 171",0.333333333333333,0,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0,-0.01333,-0.56417,0.25
" But Ronald still refuses to reconcile with Hermione",0.2,1," 172",NA,NA,NA,NA,NA,NA,NA,NA,0.13,-0.84,0.065
" That night , Ronald wakes up to Sirius slashing Ronald 's bed curtains in the boys ' dormitory . Everyone thinks it might be a nightmare but the curtains are indeed ripped and Sir Cadogan proves Ronald right beyond any reasonable doubt when he happily admits he let Sirius into Gryffindor Tower .",0.45,2," 173 174",0,0,0,0.333333333333333,0.166666666666667,0.166666666666667,0,0.333333333333333,0.53643,-1.06952,0.36881
" Sirius apparently had the whole week 's passwords on a piece of paper . A furious Minerva demands to know who wrote down the passwords and lost them , to which Neville admits to being the perp .",-0.775,2," 175 176",0.333333333333333,0,0.333333333333333,0,0,0.333333333333333,0,0,0.24143,-1.00857,0.36
" Another search of the castle takes place , but Sirius evades capture again . Tighter security is put in place : Filius is teaching the doors to recognise Sirius while Argus boards up everything Sirius can use to sneak in except the passageway into Hogsmeade .",-0.55,2," 177 178",0.333333333333333,0,0,0.333333333333333,0,0,0.333333333333333,0,0.56667,-0.91194,0.55194
" Sir Cadogan is fired and Fat resumes her duty guarding Gryffindor Tower on the condition her portrait is to be guarded .",-0.75,1," 179",0,0,0.25,0,0,0.25,0,0.5,0.24731,-1.11692,0.08423
" Ronald becomes an instant celebrity , which Ronald enjoys .",0.5,1," 180",0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,1.3125,-0.595,1.0875
" Neville , on the other hand , is in complete disgrace : Minerva is so furious with Ronald that Minerva strips him of Ronald 's visitation rights to Hogsmeade for the rest of the school year , gives Ronald a detention and forbids the other Gryffindors to tell Ronald the password .",-2.75,1," 181",0.285714285714286,0,0.285714285714286,0,0,0.285714285714286,0,0.142857142857143,0.26667,-0.99833,0.42028
" Augusta , sends Ronald a Howler two days later .",0,1," 182",NA,NA,NA,NA,NA,NA,NA,NA,1.28,-1.54,0.52667
" Rubeus sends a letter to Harry , telling Harry that Harry and Ronald are to meet Ronald in the entrance hall so Ronald can take them to Ronald 's hut for tea .",0,1," 183",0.25,0.25,0,0,0,0.5,0,0,0.71955,-1.69045,0.42318
" Other than learning that Buckbeak 's trial is that week , Harry and Ronald learn that Rubeus wants to talk to Harry and Ronald on behalf of Hermione . Rubeus mentions their feud has been hurting Hermione more than they think , and that Hermione is only concerned about protecting Harry from Sirius .",0.1,2," 184 185",0.363636363636364,0,0,0.181818181818182,0,0.363636363636364,0,0.0909090909090909,0.57706,-1.00794,0.50441
" Despite Ronald 's anger reignites when Hermione threatens to tell Minerva about the Marauder 's Map , which Harry plans to use to sneak into Hogsmeade during the upcoming trip that Saturday .",-1.35,1," 186",0.428571428571429,0,0,0.142857142857143,0,0.142857142857143,0.285714285714286,0,-0.14625,-0.1725,0.23875
" While on the trip that weekend , Harry using his Invisibility Cloak to make a few stops with Ronald before visiting the Shrieking Shack , a house that is supposedly filled with violent ghosts . Vincent , Gregory and Draco show up there and provoke Ronald .",-0.825,2," 187 188",0.2,0,0.2,0.1,0,0.2,0.2,0.1,0.37625,-0.48781,0.44062
" Harry , using Harry 's cloak , attacks the trio and Draco catches a glimpse of Harry 's head . Draco later reports the incident to Severus , who interrogates Harry after Draco returns from Hogsmeade .",-0.375,2," 189 190",0.4,0,0,0,0,0.4,0.2,0,-0.16727,-0.64773,0.03455
" Severus finds the Marauder 's Map , but is not able to discover what it does and is instead bombarded by insults from the map 's makers . Remus is summoned and claims ignorance about the map , and Ronald shows up to and claims the map is a Zonko product that insults anyone who touches it . Afterwards , Remus brings Harry and Ronald to the entrance hall , where Ronald confiscates the map and reprimands Harry for not handing in something that could aid in Sirius 's capture . Ronald also scolds Ronald for risking Ronald 's life to sneak into Hogsmeade , thus undervaluing Ronald 's parent 's sacrifice .",-0.725,4," 191 192 193 194",0.4,0,0,0.2,0,0.2,0.2,0,0.30225,-0.70613,0.35685
" On their way back to Gryffindor Tower , Harry and Ronald find Hermione , who informs them that the Ministry has decided to execute Buckbeak despite the help she provided for Buckbeak 's defence .",0.4,1," 195",0.25,0,0,0,0.25,0.25,0,0.25,0.625,-1.21455,0.66409
" -LCB- -LCB- dialogue | Oliver | So you must catch it only if we 're more than fifty points up ... Only if we 're more than fifty points up , Harry , or we win the match but lose the Cup .",0.125,2," 196",0.25,0,0.125,0.125,0,0.25,0.25,0,0.53885,-1.235,0.69654
" You 've got that , Have n't you ?",0,1," 197",NA,NA,NA,NA,NA,NA,NA,NA,0.93667,-1.43,0.69667
" You must catch the Snitch only if we 're ... | Harry | I KNOW , OLIVER !",-0.5,2," 198",0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0.576,-0.912,0.246
" | Oliver constantly nagging Harry about the final Quidditch game -RCB- -RCB-",-1,1," 199",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.675,-0.275,-0.11
" Buckbeak 's impending execution causes the friends to reconcile .",-0.6,1," 200",0.166666666666667,0.166666666666667,0,0.333333333333333,0,0.166666666666667,0,0.166666666666667,0.2625,-0.5575,0.095
" Ronald promises to help Hermione work on filing an appeal for Buckbeak 's case , since Harry will be too busy with Quidditch practise sessions for the final match .",1.35,1," 201",0.166666666666667,0.333333333333333,0,0.166666666666667,0,0.333333333333333,0,0,0.65,-1.2425,0.545
" After Draco mocks Rubeus during one of his classes , Hermione smacks Draco in the face .",-0.5,1," 202",NA,NA,NA,NA,NA,NA,NA,NA,0.188,-0.594,0.408
" Hermione then accidentally skips Charms .",-0.6,1," 203",0,0,0,0,0,0,1,0,1.05,-0.62,0.89
" In Divination , Hermione finally explodes and drops the class .",-0.2,1," 204",0,0.333333333333333,0.166666666666667,0,0.166666666666667,0,0.166666666666667,0.166666666666667,-0.22,-0.19333,-0.66
" In May , the Quidditch final takes place : Gryffindor vs. Slytherin .",0,1," 205",NA,NA,NA,NA,NA,NA,NA,NA,0.1975,-1.0925,0.31
" Gryffindor needs to be more than fifty points ahead before Harry can catch the Golden Snitch in order to win the Quidditch Cup .",0.9,1," 206",0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0.73955,-1.10909,0.77455
" On the morning of the match , Harry catches another glimpse of the dog , this time with Crookshanks .",0,1," 207",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,1.07167,-1.1175,0.74417
" In the match , Gryffindor take an early lead , and Slytherin resorts to cheating .",-0.75,1," 208",NA,NA,NA,NA,NA,NA,NA,NA,0.89375,-1.14,0.3925
" This helps the Gryffindor team to gain penalty shots and get further ahead .",1.6,1," 209",0.166666666666667,0.166666666666667,0,0.166666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,0.07833,-0.66,0.49667
" Harry manages to catch the snitch at the right moment , allowing Gryffindor to come in first in the overall points and win the Quidditch Cup at last .",0.3,1," 210",0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0.93231,-0.99923,0.99308
" The students take their end-of-year exams in June .",0,1," 211",NA,NA,NA,NA,NA,NA,NA,NA,0.18667,-0.35333,0.27
" Buckbeak 's appeal is scheduled on the final day of the exams .",0.6,1," 212",0,1,0,0,0,0,0,0,0.40667,-1.07667,0.255
" After Harry 's Divination final , Trelawney issues a genuine prediction that Tom 's servant will return to him that night and Tom will once again rise to full power stronger than before .",1,1," 213",0.166666666666667,0.333333333333333,0,0,0,0.166666666666667,0,0.333333333333333,0.575,-0.98417,0.84917
" Meanwhile , Buckbeak 's appeal fails .",0.1,1," 214",0,1,0,0,0,0,0,0,-0.685,-0.465,0.05
" That night , after Hermione retrieves Harry 's Invisibility Cloak from the one-eyed witch 's hump -LRB- where Harry hid it after Draco spotted Harry in Hogsmeade -RRB- , Harry , Ronald and Hermione use the cloak to go to Rubeus 's cabin to console Harry before Buckbeak is executed . Hermione finds Scabbers in a milk jug and returns Harry to Ronald .",-0.075,2," 215 216",0.375,0,0.125,0.125,0,0.375,0,0,0.55605,-1.03184,0.33868
" After the trio depart , Albus , Fudge , a representative of the Committee for the Disposal of Dangerous Creatures , and the executioner , Walden Macnair , arrive .",-1.7,1," 217",0.125,0.25,0,0.25,0,0.25,0,0.125,-0.084,-0.293,-0.147
" Buckbeak is then apparently executed . Shortly afterwards , Scabbers escapes from Ronald 's grasp .",-0.125,2," 218 219",0,1,0,0,0,0,0,0,0.2675,-0.545,0.615
" Harry , Ronald and Hermione run after Ronald and spot the black dog and Crookshanks . After Ronald catches Scabbers , the dog grabs Ronald by the arm and pulls Ronald in a passage under the Whomping Willow , breaking Ronald 's leg in the process .",-0.425,2," 220 221",0.333333333333333,0,0,0,0,0.666666666666667,0,0,0.71643,-0.87107,0.44321
" Harry and Hermione follow after Harry and Hermione . The passage leads Harry and Hermione to the Shrieking Shack , where Harry and Hermione find Sirius and Ronald . Sirius turns out to be an unregistered Animagus whose animal form is a black dog ; he was the one who dragged Ronald down into the Shrieking Shack . Harry manages to overpower and subdue Sirius , who admits that Harry is responsible for the death of Harry 's parents . Remus then arrives and is accused by Hermione of being Sirius 's accomplice and a werewolf .",-0.35,5," 222 223 224 225 226",0.25,0.05,0.15,0.1,0,0.35,0.05,0.05,0.25317,-1.09433,0.37033
" Hermione deduced this following Severus 's lesson on werewolves , since Remus was always absent on nights of the full moon and Remus 's Boggart turned into the moon .",-0.2,1," 227",0,0.333333333333333,0,0,0,0.333333333333333,0,0.333333333333333,0.63091,-1.35091,0.52727
" Remus admits that he is a werewolf , but denies the charge of helping Sirius .",0.6,1," 228",NA,NA,NA,NA,NA,NA,NA,NA,0.16,-0.675,0.14167
" He explains that he found out where Harry , Ronald and Hermione went through the Marauder 's Map , since he had helped to create it and knew that the three of them would visit Rubeus that night due to Buckbeak 's execution .",1.4,1," 229",0.222222222222222,0,0,0.111111111111111,0.222222222222222,0.222222222222222,0,0.222222222222222,0.94857,-0.80857,0.545
" He also adds that he saw a supposedly dead person on the map with the trio ; Peter , who is also an Animagus and had been living for years as Scabbers . Harry , Ronald and Hermione refuse to believe that Peter is alive , pointing out that he was murdered by Sirius .",-1.125,2," 230 231",0.2,0.2,0,0,0.2,0.2,0,0.2,0.57556,-1.01056,0.525
" Sirius denies this , and Remus convinces him to tell Harry the truth of what happened . Remus tells the story about his time at Hogwarts ; he had been bitten as a child , and Albus took precautions for his stay at Hogwarts , having the Shrieking Shack and the passage leading to it built to provide Remus with a safe place to transform .",1.75,2," 232 233",0.0833333333333333,0.166666666666667,0.0833333333333333,0,0.166666666666667,0.166666666666667,0,0.333333333333333,0.69437,-1.06729,0.6875
" The Whomping Willow was planted on the entrance to the tunnel to prevent anyone from running into the transformed Remus .",-0.25,1," 234",0,0,0,1,0,0,0,0,0.95625,-0.955,0.55313
" The rumours that the Hogsmeade residents started about the Shack being haunted by violent ghosts were allowed to spread to keep people from guessing that it was actually a werewolf making those sounds .",-1.5,1," 235",0.125,0,0.25,0.25,0,0.25,0.125,0,0.30812,-0.85813,0.21875
" Eventually , Remus 's friends , James and Sirius , discovered Remus 's secret , and became Animagi to support him .",0.5,1," 236",0,0,0,0,0,0,0,1,1.502,-0.878,1.16
" Sirius became a dog to keep Remus under control with James , and Peter became a rat so he could disable the Willow by scurrying under its branches and touching a certain spot on its trunk .",-0.2,1," 237",0,0,0.25,0.5,0,0.25,0,0,0.25929,-1.0825,0.26214
" Remus admits that he has not told Albus about Sirius being an Animagus , as it would have meant admitting that he had betrayed his trust and led three students into illegally becoming Animagi .",0,1," 238",0,0,0,0,0,0,0,1,0.564,-1.18567,0.46433
" He also reveals the reason for Severus 's animosity towards Severus during the year : during their days at school , Sirius had played a near-fatal trick on Severus involving Remus in Severus 's transformed form but James saved Severus .",0.15,1," 239",0.222222222222222,0,0.111111111111111,0.222222222222222,0,0.222222222222222,0.111111111111111,0.111111111111111,0.8075,-0.85083,0.6875
" Severus thought both of them were involved with Sirius 's trick .",-0.5,1," 240",0,0.5,0,0,0,0,0.5,0,0.7975,-0.9125,0.125
" Just then , Severus arrives using Harry 's Invisibility Cloak , which Harry had left at the foot of the Whomping Willow .",0,1," 241",0.5,0,0,0,0,0.5,0,0,0.44125,-1.12313,0.5025
" Severus arrives and tries to arrest Remus and Sirius , but Harry , Ronald and Hermione , curious to hear the rest of the story , stun Severus .",-0.35,1," 242",0.5,0,0,0,0,0.5,0,0,0.915,-0.43375,0.5975
" Sirius reveals Severus broke out of Azkaban after seeing the Weasleys in Egypt in the Daily Prophet .",-0.15,1," 243",0,0.4,0,0.2,0,0.2,0,0.2,0.423,-0.985,0.338
" Severus saw Scabbers and immediately recognised it was Peter in Severus 's Animagus form -LRB- Peter was missing a finger , Scabbers was missing a toe -RRB- . Severus searched for Peter to kill Severus and avenge James , Harry and Lily ; Crookshanks helped , since Severus could tell that Scabbers was no rat and Sirius was no dog .",-0.35,2," 244 245",0.111111111111111,0.111111111111111,0.111111111111111,0.333333333333333,0,0.333333333333333,0,0,0.44421,-0.87842,0.37921
" Sirius explains after Severus gained Crookshanks ' trust , Crookshanks helped Severus get into Gryffindor Tower by stealing Neville 's list of passwords .",1.05,1," 246",0,0,0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0.58167,-1.025,1.00056
" According to Sirius , Peter was James , Harry and Lily 's Secret-Keeper .",0,1," 247",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,1.53667,-2.02667,0.51
" Peter , not Sirius , revealed the location of James , Harry and Lily 's hiding place to Tom .",0,1," 248",0.333333333333333,0,0,0.333333333333333,0,0.333333333333333,0,0,1.135,-1.28,1.1525
" Tom was a spy for Tom .",0,1," 249",NA,NA,NA,NA,NA,NA,NA,NA,0.43,-0.915,-0.33
" After Sirius confronted Peter , who killed the twelve Muggles and faked Tom 's own death by cutting Tom 's finger and turning into a rat and escaping , thus framing Sirius for the crimes .",-3.4,1," 250",0.166666666666667,0.0833333333333333,0.25,0.25,0,0.166666666666667,0.0833333333333333,0,-1.0475,-0.06292,-0.22333
" Sirius was innocent all along and means no harm to Harry , Ronald and Hermione .",0.05,1," 251",0.25,0,0,0.25,0,0.25,0,0.25,-0.23,-0.46,0.18
" Sirius and Remus force Scabbers to turn into Peter .",-0.6,1," 252",0.5,0,0,0.5,0,0,0,0,0.1625,-0.84,0.365
" During Sirius explains the obvious reason why Peter remained as a rat : he was afraid that Tom 's followers would try to kill him , thinking Peter betrayed Tom .",-2.4,1," 253",0,0,0.166666666666667,0.5,0,0.166666666666667,0,0.166666666666667,-0.26308,-0.74846,0.14538
" Sirius also knows that Peter only stayed with Percy , Ronald , Arthur and William to keep up on the news until he felt it was safe to find and rejoin his master .",0.75,1," 254",0,0,0,0,0.5,0,0,0.5,1.241,-1.378,0.602
" Hermione asks how Sirius escaped .",0,1," 255",0,0,0,1,0,0,0,0,0.725,-0.985,0.865
" He reveals that the knowledge that he was innocent kept him sane : it was not a happy thought , so the Dementors could not drain it from him .",2.75,1," 256",0,0.4,0,0,0.2,0,0,0.4,1.413,-0.935,1.096
" He also often transformed into a dog , since Dementors can not affect animal emotions .",0,1," 257",NA,NA,NA,NA,NA,NA,NA,NA,1.29083,-0.66333,0.75
" After learning where Peter was and knowing Peter would use the opportunity to capture Harry and regain favour with Harry 's allies , Sirius escaped while in Harry 's Animagus form . At long last , Harry believes Sirius .",0.775,2," 258 259",0.285714285714286,0.285714285714286,0,0.142857142857143,0,0.285714285714286,0,0,1.16923,-0.95385,0.91538
" Peter admits it 's all true and begs for mercy . Before Sirius can kill Peter , Harry stops Sirius , saying that James would not want James 's two best friends to become killers . The group takes Peter back to the grounds , where he will be handed to the Dementors . Sirius and Harry talk about the former 's friendship with James , Harry and Lily , including that Sirius is Harry 's godfather . Sirius tells Harry that Harry can choose to live with Harry if Harry wishes . Harry quickly and happily agrees , knowing this would mean Harry would never have to the return to the Dursley .",0.725,6," 260 261 262 263 264 265",0.307692307692308,0,0,0.0769230769230769,0.153846153846154,0.384615384615385,0,0.0769230769230769,0.81231,-1.12897,0.64679
" Unfortunately , the full moon rises , causing Remus , who had not taken his Wolfsbane Potion , to turn into a werewolf .",-1,1," 266",NA,NA,NA,NA,NA,NA,NA,NA,0.57667,-0.99111,0.54
" This allows Peter to knock Ronald out , turn into a rat , and escape .",-0.75,1," 267",0,0.25,0.25,0.5,0,0,0,0,0.198,-0.834,0.178
" Harry and Hermione run after Remus and Sirius -LRB- who has transformed into a dog -RRB- .",0,1," 268",0.5,0,0,0,0,0.5,0,0,1.345,-0.2025,0.81125
" After seriously injuring Sirius , Remus flees to the Forbidden Forest . A hundred Dementors arrive and suck the happiness from Harry and Hermione and Sirius and attempt to perform a Kiss on them . Before they all faint , Harry sees a familiar figure across the lake conjure a powerful stag-shaped Patronus that drives all the Dementors away . Harry , Ronald and Hermione are taken to the Hospital Wing , and Sirius is taken to West Tower , where Ronald is sentenced to a Dementor 's Kiss . When Albus arrives , Harry and Hermione try to tell him what actually happened , but Albus tells Harry , Ronald and Hermione that Albus can not save Sirius , as the evidence against Albus is too great .",0.2,5," 269 270 271 272 273",0.15625,0.21875,0.03125,0.0625,0.15625,0.15625,0.09375,0.125,0.785,-0.7141,0.61205
" Severus had lied about what happened earlier to Cornelius , and the Minister will not take the words of under-age students seriously .",-0.5,1," 274",1,0,0,0,0,0,0,0,0.13375,-1.09,0.75875
" Albus gives the group cryptic instructions and bids them good luck .",1.5,1," 275",0,0.333333333333333,0,0,0.222222222222222,0,0.222222222222222,0.222222222222222,0.99,-0.92214,0.55071
" Hermione then reveals Hermione has a Time-Turner , a device that will take them back through time .",0,1," 276",0,1,0,0,0,0,0,0,0.45214,-1.51571,0.72429
" Minerva gave the device to Minerva 's during the Sorting on their first day back ; this explains why throughout the year , there had been occasions of Hermione taking multiple classes at the same time and apparently disappearing into thin air .",0,1," 277",0,1,0,0,0,0,0,0,0.83559,-1.08706,0.59118
" Harry and Hermione travel three hours into the past , watching themselves move through previous events .",0,1," 278",0.5,0,0,0,0,0.5,0,0,0.60125,-0.835,0.68625
" They realise that Albus wanted them to travel three hours back to not only save Buckbeak from being wrongfully executed , but also to use Buckbeak to free Sirius from West Tower . After narrowly rescuing Buckbeak at the right moment before Macnair can execute him -LRB- so Albus and Rubeus would not be accused of setting Buckbeak free -RRB- , Harry and Hermione hide near the Whomping Willow in the Forbidden Forest to wait for the `` other Harry and Hermione '' and everyone else to return from the Shrieking Shack . During this time , Harry tells Hermione about the man he saw across the lake and how he thinks it was his father who conjured the Patronus . After two hours , following Harry decides they need to head back to Rubeus 's empty cabin so Remus does n't attack them . After spending some time in hiding , Harry leaves the cabin to check out the present situation and sees Harry , Hermione , and Sirius fainting from Dementors . Harry realises that the silver stag Harry saw earlier across the lake was not cast by Harry 's dad and conjures a powerful Patronus that drives all the Dementors away . When it returns to Harry , Harry pets it and realises that it was the same Patronus as `` Prongs , '' Harry 's father .",0.00714285714285715,7," 279 280 281 282 283 284 285",0.225,0.125,0.05,0.15,0.075,0.2,0.05,0.125,0.77556,-1.05729,0.52194
" After Hermione catch up , Hermione wait until Hermione see Macnair leave the castle to retrieve the Dementors .",-0.5,1," 286",0,0.25,0,0,0,0.25,0.5,0,0.62,-0.805,0.73833
" He and Hermione then fly Buckbeak up to West Tower and rescue Sirius .",0.25,1," 287",0,0.25,0,0,0.25,0,0.25,0.25,0.90375,-0.765,0.34625
" Sirius and Harry say Sirius and Harry 's goodbyes before Sirius flies away on Buckbeak .",0,1," 288",0.5,0,0,0,0,0.5,0,0,0.985,-0.335,1.08
" -LCB- -LCB- dialogue a-b | Vernon | You have n't got a godfather !",0,1," 289",NA,NA,NA,NA,NA,NA,NA,NA,1.11,-1.78,0.2875
" | Harry | Yes , I have . He was my mum and dad 's best friend . He 's a convicted murderer , but he 's broken out of wizard prison and he 's on the run .",0,3," 290 291 292",0.235294117647059,0.0588235294117647,0.0588235294117647,0.235294117647059,0.0588235294117647,0.235294117647059,0.0588235294117647,0.0588235294117647,0.21393,-0.70964,-0.0275
" He likes to keep in touch with me , though ... keep up with my news ... check if I 'm happy ... | Harry telling Vernon about Sirius -RCB- -RCB-",0.3125,4," 293",0.2,0.2,0,0,0.2,0.2,0,0.2,1.46111,-0.83444,0.63778
" Harry and Hermione make it back to the hospital wing just in time for Albus to magically lock the door . Shortly afterwards , Severus bursts in , followed by Fudge and Albus , and accuses Harry of freeing Sirius .",-0.25,2," 294 295",0.222222222222222,0.222222222222222,0,0.111111111111111,0,0.333333333333333,0,0.111111111111111,0.42208,-0.86667,0.245
" Fudge assumes Severus is simply delirious because Severus 's chances of receiving the Order of Merlin have gone up in smoke .",0.1,1," 296",0,0.25,0,0,0.25,0.25,0.25,0,0.716,-0.648,0.6
" Fudge leaves to inform the Daily Prophet of the news and agrees to remove the Dementors from Hogwarts , since the Dementors ' attempt to perform the Dementor 's Kiss on Harry proves them to be more harmful than helpful .",1.85,1," 297",0.157894736842105,0.210526315789474,0.0526315789473684,0.105263157894737,0.105263157894737,0.157894736842105,0.0526315789473684,0.157894736842105,0.781,-0.85,0.625
" Shortly after they leave , Ronald wakes up from Ronald 's unconscious state . The next day , while most of the other students are at Hogsmeade , the trio learns that Remus is resigning because Severus told the Slytherin house Remus 's secret . Harry goes to see Remus and is unable to sway Remus 's mind , since Remus does not want to risk endangering the students again .",-0.866666666666667,3," 298 299 300",0.111111111111111,0.222222222222222,0,0.111111111111111,0,0.333333333333333,0.111111111111111,0.111111111111111,0.58308,-0.87577,0.46154
" Remus confirms Harry 's suspicions that James 's Animagus form was indeed a stag .",-0.5,1," 301",0.5,0,0,0,0,0.5,0,0,0.214,-0.76,0.762
" Remus then gives Harry Harry 's Invisibility Cloak back , along with the Marauder 's Map , and leaves with Albus to catch Harry 's carriage .",0,1," 302",0.333333333333333,0,0,0,0,0.333333333333333,0.333333333333333,0,0.68625,-1.20188,0.4925
" Later , while talking with Albus , Harry confesses that Harry feels bad for not letting Remus and Sirius kill Peter , realising that Harry was the servant that would aid with Tom 's return from Trelawney 's prophecy . Albus reminds Harry that Harry saved Sirius , an innocent man , from a terrible fate . Furthermore , Peter owes a life debt to Harry for saving Harry , which Albus is sure will prove useful later on .",0.333333333333333,3," 303 304 305",0.238095238095238,0.0952380952380952,0.0952380952380952,0.142857142857143,0,0.333333333333333,0,0.0952380952380952,0.25179,-0.80784,0.36512
" Before Albus leaves , Albus mentions that Harry has some of Harry 's father 's qualities , which is why Harry 's Patronus took the form of Prongs .",0,1," 306",0.333333333333333,0,0,0,0,0.333333333333333,0,0.333333333333333,0.78875,-1.2775,0.62125
" At the end-of-the-year feast , Gryffindor wins both the Quidditch Cup and the House Cup .",0.5,1," 307",NA,NA,NA,NA,NA,NA,NA,NA,1.722,-0.996,1.208
" The students return to London aboard the Hogwarts Express .",0.25,1," 308",NA,NA,NA,NA,NA,NA,NA,NA,0.96333,-0.89,1.35667
" Hermione mentions to Harry and Ronald that Hermione gave up the Time-Turner because it caused Hermione 's too much stress .",-0.75,1," 309",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0.0125,-1.145,0.0175
" Hermione has decided to drop Muggle Studies so Hermione can have a normal schedule again .",0,1," 310",NA,NA,NA,NA,NA,NA,NA,NA,0.49643,-1.64,0.91571
" Ronald announces that Ronald is planning to invite Harry to the Quidditch World Cup , since Ronald 's father can get them tickets from work . Ronald also has a telephone that Ronald can use to contact Harry now .",0.575,2," 311 312",0.181818181818182,0.181818181818182,0,0,0.0909090909090909,0.181818181818182,0.0909090909090909,0.272727272727273,0.80437,-1.23125,0.67937
" A tiny owl from Sirius then arrives on the train with a letter .",0,1," 313",0,1,0,0,0,0,0,0,0.916,-0.925,0.887
" In the letter , Sirius reveals that he is travelling far away from Hogwarts to avoid causing further problems and admits he bought Harry the Firebolt with Crookshanks ' help .",-0.4,1," 314",0.25,0.25,0,0.25,0,0.25,0,0,0.743,-0.9585,0.7665
" A separate section of the letter provides Harry with permission to visit Hogsmeade ; Harry knows Albus will accept it .",2.2,1," 315",0.333333333333333,0.333333333333333,0,0,0,0.333333333333333,0,0,0.70111,-1.39833,0.66944
" Sirius also mentions that the tiny owl is a gift for Ronald -LRB- later named Pigwidgeon by Ginevra -RRB- , since it is Sirius 's fault that Ronald no longer has a rat .",-0.5,1," 316",0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0.464,-1.12,0.206
" After arriving at King 's Cross , Ronald says Ronald will contact Harry about the finals of the Quidditch World Cup , and Harry heads back to Little Whinging with Vernon .",0.5,1," 317",0.4,0,0,0.2,0,0.4,0,0,0.7475,-1.17083,0.495
" Harry is happy Harry now has a true family member to depend on and mentions to Vernon that Harry has a godfather who had escaped from wizard prison and likes to check up on Harry .",1.4,1," 318",0.153846153846154,0.230769230769231,0,0.153846153846154,0.0769230769230769,0.153846153846154,0.0769230769230769,0.153846153846154,1.095,-0.98187,0.66688
